0,1.5708,0.0043646
0,1.4923,0.004183
0,1.4137,0.0038747
0,1.3352,0.0032571
0,1.2566,0.0023074
0,1.1781,0.019529
0,1.0996,0.02577
0,1.021,0.028486
0,0.94248,0.02996
0,0.86394,0.030906
0,0.7854,0.029294
0,0.70686,0.022967
0,0.62832,0.013182
0,0.54978,0.0046449
0,0.47124,0.0007274
0,0.3927,2.5602e-005
0,0.31416,3.8806e-008
0,0.23562,1.9366e-014
0,0.15708,7.1974e-033
0,0.07854,6.0469e-134
0,0,0
0,-0.07854,6.0469e-134
0,-0.15708,7.1974e-033
0,-0.23562,1.9366e-014
0,-0.31416,3.8806e-008
0,-0.3927,2.5602e-005
0,-0.47124,0.0007274
0,-0.54978,0.0046449
0,-0.62832,0.013182
0,-0.70686,0.022967
0,-0.7854,0.029294
0,-0.86394,0.030906
0,-0.94248,0.02996
0,-1.021,0.028486
0,-1.0996,0.02577
0,-1.1781,0.019529
0,-1.2566,0.0023074
0,-1.3352,0.0032571
0,-1.4137,0.0038747
0,-1.4923,0.004183
0,-1.5708,0.0043646

0.22147,1.5708,0.0062274
0.22147,1.4923,0.0062309
0.22147,1.4137,0.006082
0.22147,1.3352,0.0054533
0.22147,1.2566,0.0041842
0.22147,1.1781,0.028601
0.22147,1.0996,0.036572
0.22147,1.021,0.039056
0.22147,0.94248,0.039618
0.22147,0.86394,0.039526
0.22147,0.7854,0.03647
0.22147,0.70686,0.028095
0.22147,0.62832,0.016065
0.22147,0.54978,0.0057824
0.22147,0.47124,0.00097636
0.22147,0.3927,4.2445e-005
0.22147,0.31416,1.2005e-007
0.22147,0.23562,5.6984e-013
0.22147,0.15708,3.4316e-026
0.22147,0.07854,1.9565e-066
0.22147,0,6.0763e-134
0.22147,-0.07854,1.9565e-066
0.22147,-0.15708,3.4316e-026
0.22147,-0.23562,5.6984e-013
0.22147,-0.31416,1.2005e-007
0.22147,-0.3927,4.2445e-005
0.22147,-0.47124,0.00097636
0.22147,-0.54978,0.0057824
0.22147,-0.62832,0.016065
0.22147,-0.70686,0.028095
